contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,type,mid,pull_date,spread,spread_mid_ratio,S0,dividend_yield,K,T,market_iv,fitted_v0,fitted_kappa,fitted_theta,fitted_sigma_v,fitted_rho,fft_predicted_iv,iv_residual,iv_squared_error
SPY260706C00625000,2026-07-02 14:39:40+00:00,625.0,123.71,117.82,121.34,1.7699966,1.4515308,30.0,31,1.1821329956054685,True,REGULAR,USD,2026-07-06,call,119.58,2026-07-04,3.52,0.0294363606,744.7800293,0.01010365437,625.0,0.005479452054794521,1.1821329956054685,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.46717769967232786,-0.7149552959331407,0.5111610751828447
SPY260706C00660000,2026-06-29 13:34:02+00:00,660.0,87.6,82.83,86.35,8.729996,11.068842,6.0,26,0.8781750463867187,True,REGULAR,USD,2026-07-06,call,84.59,2026-07-04,3.52,0.04161248375,744.7800293,0.01010365437,660.0,0.005479452054794521,0.8781750463867187,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.3263867661013688,-0.55178828028535,0.30447030626026395
SPY260706C00670000,2026-07-01 14:37:02+00:00,670.0,75.09,72.83,76.35,-1.9100037,-2.4805243,2.0,12,0.79101771484375,True,REGULAR,USD,2026-07-06,call,74.59,2026-07-04,3.52,0.04719131251,744.7800293,0.01010365437,670.0,0.005479452054794521,0.79101771484375,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.287150203843776,-0.5038675109999741,0.253882468641309
SPY260706C00700000,2026-07-02 19:57:25+00:00,700.0,45.14,42.84,46.36,-1.7299995,-3.6910594,122.0,5,0.5271043383789062,True,REGULAR,USD,2026-07-06,call,44.6,2026-07-04,3.52,0.07892376682,744.7800293,0.01010365437,700.0,0.005479452054794521,0.5271043383789062,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.24840377693798424,-0.27870056144092203,0.07767400294748515
SPY260706C00703000,2026-06-30 19:18:29+00:00,703.0,45.68,39.84,43.36,0.0,0.0,8.0,8,0.500005,True,REGULAR,USD,2026-07-06,call,41.6,2026-07-04,3.52,0.08461538462,744.7800293,0.01010365437,703.0,0.005479452054794521,0.500005,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.2445428178457226,-0.2554621821542774,0.0652609265110252
SPY260706C00705000,2026-07-02 17:18:15+00:00,705.0,36.97,37.85,41.36,2.6500015,7.7214494,1.0,16,0.4819387744140625,True,REGULAR,USD,2026-07-06,call,39.605,2026-07-04,3.51,0.08862517359,744.7800293,0.01010365437,705.0,0.005479452054794521,0.4819387744140625,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.24218227201319403,-0.2397565024008685,0.05748318044349766
SPY260706C00706000,2026-06-29 17:54:49+00:00,706.0,35.34,36.89,40.36,0.0,0.0,29.0,31,0.4726615234375,True,REGULAR,USD,2026-07-06,call,38.625,2026-07-04,3.47,0.0898381877,744.7800293,0.01010365437,706.0,0.005479452054794521,0.4726615234375,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.24115580676603976,-0.23150571667146025,0.053594896851566425
SPY260706C00709000,2026-07-02 19:55:51+00:00,709.0,35.64,33.85,37.36,8.83,32.935474,2.0,4,0.4451959777832031,True,REGULAR,USD,2026-07-06,call,35.605000000000004,2026-07-04,3.51,0.09858165988,744.7800293,0.01010365437,709.0,0.005479452054794521,0.4451959777832031,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.2380051185314845,-0.20719085925171857,0.04292805215746545
SPY260706C00710000,2026-07-02 19:55:50+00:00,710.0,34.66,32.85,36.36,4.67,15.571858,11.0,23,0.4359187268066406,True,REGULAR,USD,2026-07-06,call,34.605000000000004,2026-07-04,3.51,0.1014304291,744.7800293,0.01010365437,710.0,0.005479452054794521,0.4359187268066406,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.23675865671874696,-0.19916007008789366,0.039664733517414716
SPY260706C00711000,2026-07-02 19:54:19+00:00,711.0,33.17,31.85,35.37,-3.9900017,-10.737356,2.0,7,0.4274959594726563,True,REGULAR,USD,2026-07-06,call,33.61,2026-07-04,3.52,0.1047307349,744.7800293,0.01010365437,711.0,0.005479452054794521,0.4274959594726563,0.03601990552838322,2.6509613111613657,0.0101229951136501,0.9993863554271026,-0.9495768662885722,0.23538425963616014,-0.19211169983649615,0.036906905214067996
